,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population
36,36.0,Morocco,899581,"+2,668",13436.0,+66,849681.0,"+5,192",36464.0,845.0,24033.0,359.0,9303278.0,248542.0,37431364.0
37,37.0,Kazakhstan,832248,"+4,024",10154.0,+78,747978.0,"+6,169",74116.0,221.0,43701.0,533.0,11575012.0,607802.0,19044066.0
38,38.0,Hungary,814732,+323,30086.0,+6,778640.0,+109,6006.0,30.0,84594.0,3124.0,6679227.0,693507.0,9631090.0
39,39.0,Switzerland,808050,"+2,894",11010.0,+0,720152.0,"+2,117",76888.0,281.0,92560.0,1261.0,10103448.0,1157322.0,8730022.0
40,40.0,Serbia,806448,"+6,089",7493.0,+25,734845.0,"+1,219",64110.0,128.0,92744.0,862.0,5205343.0,598633.0,8695382.0
41,41.0,Jordan,806012,+798,10531.0,+13,783438.0,+774,12043.0,507.0,78074.0,1020.0,9531594.0,923268.0,10323752.0
42,42.0,Nepal,775548,+961,10924.0,+21,736666.0,"+1,660",27958.0,+0,26060.0,367.0,4008046.0,134679.0,29759961.0
43,43.0,Cuba,729133,"+8,394",6140.0,+84,683992.0,"+8,579",39001.0,412.0,64420.0,542.0,8512380.0,752085.0,11318371.0
44,44.0,UAE,727541,+744,2060.0,+3,718218.0,+961,7263.0,+0,72517.0,205.0,77660916.0,7740819.0,10032649.0
45,45.0,Austria,705913,"+2,341",10832.0,+10,675060.0,"+1,605",20021.0,183.0,77850.0,1195.0,79979782.0,8820360.0,9067632.0
46,46.0,Tunisia,681664,"+1,590",24086.0,+45,651448.0,"+3,857",6130.0,468.0,56967.0,2013.0,2708754.0,226373.0,11965869.0
47,47.0,Lebanon,611912,+815,8169.0,+12,568381.0,"+4,124",35362.0,200.0,90133.0,1203.0,4780275.0,704123.0,6788976.0
48,48.0,Greece,611648,"+2,129",14102.0,+42,567255.0,"+1,535",30291.0,378.0,59026.0,1361.0,16436289.0,1586161.0,10362306.0
49,49.0,Vietnam,589417,"+13,321",14745.0,+275,350921.0,"+12,751",223751.0,+0,5991.0,150.0,42517091.0,432165.0,98381663.0
50,50.0,Georgia,575210,"+2,262",8089.0,+54,534559.0,"+2,795",32562.0,+0,144524.0,2032.0,8375503.0,2104380.0,3980034.0
51,51.0,Saudi Arabia,545829,+102,8610.0,+6,534908.0,+74,2311.0,542.0,15393.0,243.0,27970741.0,788822.0,35458862.0
52,52.0,Guatemala,505640,"+4,800",12606.0,+62,445934.0,"+4,488",47100.0,5.0,27616.0,688.0,2307725.0,126039.0,18309606.0
53,53.0,Ecuador,505075,+148,32426.0,+20,443880.0,+0,28769.0,759.0,28119.0,1805.0,1795320.0,99952.0,17961789.0
54,54.0,Belarus,499279,"+1,859",3893.0,+12,489870.0,"+1,529",5516.0,+0,52858.0,412.0,7988839.0,845772.0,9445616.0
55,55.0,Bolivia,494293,+379,18558.0,+17,443796.0,"+1,007",31939.0,220.0,41668.0,1564.0,2336847.0,196994.0,11862512.0
56,56.0,Costa Rica,489784,"+2,825",5754.0,+33,392993.0,"+1,708",91037.0,474.0,95113.0,1117.0,2156767.0,418829.0,5149518.0
57,57.0,Sri Lanka,480478,"+2,842",10995.0,+131,409628.0,"+19,659",59855.0,+0,22327.0,511.0,4950195.0,230025.0,21520257.0
58,58.0,Bulgaria,468300,+0,19387.0,+0,412336.0,+0,36577.0,363.0,68007.0,2815.0,4420228.0,641914.0,6886016.0
59,59.0,Panama,461230,+0,7112.0,+0,448628.0,+0,5490.0,108.0,104931.0,1618.0,3735633.0,849864.0,4395567.0
60,60.0,Paraguay,459133,+0,16028.0,+0,439639.0,+0,3466.0,66.0,63444.0,2215.0,1794784.0,248007.0,7236827.0
61,61.0,Azerbaijan,455044,"+2,508",6031.0,+37,401300.0,"+4,076",47713.0,+0,44403.0,589.0,4623245.0,451135.0,10248020.0
62,62.0,Myanmar,427516,"+2,102",16353.0,+88,375813.0,"+2,594",35350.0,+0,7795.0,298.0,3907174.0,71241.0,54844373.0
63,63.0,Kuwait,410693,+62,2429.0,+1,406855.0,+154,1409.0,38.0,94505.0,559.0,3918050.0,901589.0,4345716.0
64,64.0,Slovakia,397759,+377,12558.0,+2,381979.0,+86,3222.0,37.0,72812.0,2299.0,3441686.0,630023.0,5462795.0
65,65.0,Uruguay,386410,+152,6037.0,+0,378720.0,+108,1653.0,17.0,110780.0,1731.0,3432618.0,984100.0,3488080.0
66,66.0,Croatia,381946,"+1,042",8413.0,+8,367842.0,+678,5691.0,59.0,93728.0,2065.0,2638469.0,647468.0,4075055.0
67,67.0,Palestine,366675,"+2,311",3785.0,+5,331144.0,"+1,660",31746.0,70.0,69946.0,722.0,2288859.0,436615.0,5242286.0
68,68.0,Ireland,363847,"+1,619",5155.0,+0,309841.0,"+1,755",48851.0,59.0,72719.0,1030.0,6415912.0,1282297.0,5003453.0
69,69.0,Dominican Republic,352762,+321,4014.0,+0,343620.0,+217,5128.0,135.0,32135.0,366.0,1987753.0,181076.0,10977448.0
70,70.0,Denmark,351553,+557,2608.0,+4,340220.0,"+1,015",8725.0,29.0,60440.0,448.0,82206944.0,14133367.0,5816515.0
71,71.0,Honduras,350020,"+1,126",9260.0,+36,107772.0,+0,232988.0,606.0,34683.0,918.0,1006824.0,99765.0,10091998.0
72,72.0,Venezuela,344297,+0,4167.0,+0,328262.0,+0,11868.0,681.0,12149.0,147.0,3359014.0,118526.0,28339827.0
73,73.0,Libya,322487,"+1,117",4410.0,+13,235762.0,"+1,533",82315.0,+0,46185.0,632.0,1580335.0,226328.0,6982488.0
74,74.0,Ethiopia,321787,"+1,334",4884.0,+27,288844.0,"+1,697",28059.0,753.0,2719.0,41.0,3316737.0,28026.0,118345330.0
75,75.0,Lithuania,306558,+922,4655.0,+10,286257.0,+590,15646.0,137.0,114519.0,1739.0,4557510.0,1702518.0,2676924.0
76,76.0,Oman,302924,+0,4084.0,+0,293007.0,+0,5833.0,26.0,57581.0,776.0,25000000.0,4752094.0,5260839.0
77,77.0,Egypt,291585,+0,16836.0,+0,244793.0,+0,29956.0,90.0,2787.0,161.0,3068679.0,29329.0,104629132.0
